well_tag_number,development_method_code
57410,SURGE
57413,SURGE
57413,AIR_LIFT
57437,AIR_LIFT
57447,AIR_LIFT
57453,AIR_LIFT
57493,SURGE
57493,AIR_LIFT
57568,PUMP
57570,AIR_LIFT
57599,BAIL
57599,SURGE
57602,SURGE
57602,AIR_LIFT
57629,PUMP
57633,JET
57633,AIR_LIFT
57669,BAIL
57669,SURGE
57780,SURGE
57780,AIR_LIFT
57804,BAIL
57807,BAIL
57934,AIR_LIFT
57966,AIR_LIFT
57967,AIR_LIFT
57975,AIR_LIFT
57975,SURGE
57975,JET
57980,JET
57980,AIR_LIFT
57980,SURGE
58017,BAIL
58028,AIR_LIFT
58057,AIR_LIFT
58120,AIR_LIFT
58131,SURGE
58131,BAIL
58190,AIR_LIFT
58190,JET
58190,SURGE
58273,SURGE
58273,AIR_LIFT
58302,SURGE
58302,AIR_LIFT
58302,JET
58361,AIR_LIFT
58362,AIR_LIFT
58377,PUMP
58377,BAIL
58377,SURGE
58395,SURGE
58395,BAIL
58399,AIR_LIFT
58402,AIR_LIFT
58402,JET
58402,SURGE
58409,AIR_LIFT
58549,BAIL
58549,SURGE
58561,AIR_LIFT
58771,AIR_LIFT
58794,AIR_LIFT
58899,BAIL
58899,SURGE
58918,SURGE
58918,PUMP
58918,BAIL
59028,SURGE
59028,BAIL
59041,AIR_LIFT
59064,BAIL
59106,BAIL
59106,SURGE
59157,SURGE
59157,BAIL
59207,SURGE
59207,BAIL
59260,AIR_LIFT
59302,SURGE
59348,SURGE
59357,AIR_LIFT
59391,AIR_LIFT
59442,BAIL
59442,SURGE
59443,SURGE
59443,BAIL
59458,BAIL
59458,SURGE
59488,AIR_LIFT
59626,SURGE
59649,SURGE
59649,BAIL
59697,AIR_LIFT
59707,SURGE
59707,AIR_LIFT
59751,AIR_LIFT
59774,AIR_LIFT
59875,AIR_LIFT
59875,SURGE
59877,AIR_LIFT
59877,SURGE
59886,AIR_LIFT
59942,AIR_LIFT
59963,SURGE
59963,BAIL
59981,SURGE
60066,BAIL
60066,PUMP
